Name,id,Recognition,State,Seat,Party,Gender,isdupe,DNA,Hair Final,Hairstyle Final,Eyebrows,Mouth,Ears,Facial Hair,Face,Misc,Eyes,Skin Shade,Wrinkles,Incumbent
Joseph Morelle,284,0.517,NY,25,D,M,0,MDark GrayGeneric ShortNormalSmirkBigNoneCheeksNoneBrownWhiteMild,Dark Gray,Generic Short,Normal,Smirk,Big,None,Cheeks,None,Brown,White,Mild,Y
Brian Higgins,285,0.568,NY,26,D,M,0,MBrownGeneric Male MediumNormalSerious SmileBigNoneNormalNoneBlueWhiteNo,Brown,Generic Male Medium,Normal,Serious Smile,Big,None,Normal,None,Blue,White,No,Y
Chris Jacobs,286,0.531,NY,27,R,M,0,MLight GrayGeneric Male MediumNormalBig SmileBigNoneChinNoneBlueWhiteMild,Light Gray,Generic Male Medium,Normal,Big Smile,Big,None,Chin,None,Blue,White,Mild,Y
Chuck Schumer,603,0.927,NY,SEN,D,M,0,MLight GrayReceding HairlineNormalSmirkBigNoneChinNonehazelTanMild,Light Gray,Receding Hairline,Normal,Smirk,Big,None,Chin,None,hazel,Tan,Mild,Y
Kirsten Gillibrand,604,0.862,NY,SEN,D,F,0,FLight BlondeFemale BobNormalBig SmileNormalNoneNormalNoneGreenwhiteno,Light Blonde,Female Bob,Normal,Big Smile,Normal,None,Normal,None,Green,white,no,Y
Steve Chabot,302,0.595,OH,1,R,M,0,MLight GrayReceding HairlineNormalBig SmileNormalNoneCheeksNoneBlueWhiteYes,Light Gray,Receding Hairline,Normal,Big Smile,Normal,None,Cheeks,None,Blue,White,Yes,Y
Brad Wenstrup,303,0.476,OH,2,R,M,0,MGrayGeneric ShortProminentSmirkBigNoneChinNoneBlue-GreyWhiteMild,Gray,Generic Short,Prominent,Smirk,Big,None,Chin,None,Blue-Grey,White,Mild,Y
Joyce Beatty,304,0.639,OH,3,D,F,0,FGrayFemale BobNormalNormalNormalNoneNormalNoneBrownBlackYes,Gray,Female Bob,Normal,Normal,Normal,None,Normal,None,Brown,Black,Yes,Y
Jim Jordan,305,0.782,OH,4,R,M,0,MDark BlondeGeneric ShortNormalNormalNormalNoneChinNoneBrownWhiteMild,Dark Blonde,Generic Short,Normal,Normal,Normal,None,Chin,None,Brown,White,Mild,Y
Bob Latta,306,0.439,OH,5,R,M,0,MLight GrayReceding HairlineNormalSerious SmileNormalNoneChinNoneBrownWhiteMild,Light Gray,Receding Hairline,Normal,Serious Smile,Normal,None,Chin,None,Brown,White,Mild,Y
Bill Johnson,307,0.816,OH,6,R,M,0,MGrayGeneric ShortProminentBig SmileBigNoneNormalNoneBlueWhiteYes,Gray,Generic Short,Prominent,Big Smile,Big,None,Normal,None,Blue,White,Yes,Y
Bob Gibbs,308,0.48,OH,7,R,M,0,MWhiteGeneric ShortNormalSmirkNormalNoneNormalNoneBlueWhiteYes,White,Generic Short,Normal,Smirk,Normal,None,Normal,None,Blue,White,Yes,Y
Warren Davidson,309,0.51,OH,8,R,M,0,MDark BlondeReceding HairlineNormalBig SmileNormalNoneNormalNoneHazelWhiteYes,Dark Blonde,Receding Hairline,Normal,Big Smile,Normal,None,Normal,None,Hazel,White,Yes,Y
Marcy Kaptur,310,0.626,OH,9,D,F,0,FDark BlondeGeneric ShortNormalBig SmileNormalNoneNormalNoneBlueWhiteYes,Dark Blonde,Generic Short,Normal,Big Smile,Normal,None,Normal,None,Blue,White,Yes,Y
Mike Turner,311,0.476,OH,10,R,M,0,MDark BlondeGeneric ShortNormalNormalBigNoneCheeksNoneBlueWhiteYes,Dark Blonde,Generic Short,Normal,Normal,Big,None,Cheeks,None,Blue,White,Yes,Y
Shontel Brown,312,0.4,OH,11,D,F,0,FBlackFemale ShortNormalBig SmileNormalNoneNormalNoneBrownBlackNo,Black,Female Short,Normal,Big Smile,Normal,None,Normal,None,Brown,Black,No,Y
Troy Balderson,313,0.466,OH,12,R,M,0,MBlackGeneric ShortNormalSmirkNormalNoneNormalNoneGreenWhiteYes,Black,Generic Short,Normal,Smirk,Normal,None,Normal,None,Green,White,Yes,Y
Tim Ryan,314,0.762,OH,13,D,M,0,MDark BlondeGeneric ShortProminentBig SmileBigNoneCheeksNoneHazelWhiteMild,Dark Blonde,Generic Short,Prominent,Big Smile,Big,None,Cheeks,None,Hazel,White,Mild,Y
David Joyce,315,0.486,OH,14,R,M,0,MGrayBaldNormalThin LipsNormalNoneNormalNoneBlueWhiteYes,Gray,Bald,Normal,Thin Lips,Normal,None,Normal,None,Blue,White,Yes,Y
Mike Carey,316,0.4,OH,15,R,M,0,MDark GrayGeneric Male MediumProminentBig SmileNormalNoneChinNoneGreyWhiteYes,Dark Gray,Generic Male Medium,Prominent,Big Smile,Normal,None,Chin,None,Grey,White,Yes,Y
Anthony Gonzalez,317,0.765,OH,16,R,M,0,MGrayBaldNormalBig SmileNormalNoneNormalNoneGreenWhiteNo,Gray,Bald,Normal,Big Smile,Normal,None,Normal,None,Green,White,No,Y
Sherrod Brown,510,0.771,OH,SEN,D,M,0,MDark GrayReceding HairlineNormalBig SmileNormalNoneNormalNoneblue-greyWhitemild,Dark Gray,Receding Hairline,Normal,Big Smile,Normal,None,Normal,None,blue-grey,White,mild,Y
Rob Portman,610,0.739,OH,SEN,R,M,0,MGrayGeneric ShortNormalBig SmileNormalNoneNormalNonegreywhitemild,Gray,Generic Short,Normal,Big Smile,Normal,None,Normal,None,grey,white,mild,Y
Kevin Hern,318,0.493,OK,1,R,M,0,MBlondeReceding HairlineNormalBig SmileNormalNoneChinNoneBlueWhiteYes,Blonde,Receding Hairline,Normal,Big Smile,Normal,None,Chin,None,Blue,White,Yes,Y
Markwayne Mullin,319,0.548,OK,2,R,M,0,MBrownGeneric ShortNormalSmirkBigNoneNormalNoneGreenWhiteMild,Brown,Generic Short,Normal,Smirk,Big,None,Normal,None,Green,White,Mild,Y
Frank Lucas,320,0.473,OK,3,R,M,0,MGrayGeneric ShortNormalNormalNormalNoneNormalGlassesBlueWhiteYes,Gray,Generic Short,Normal,Normal,Normal,None,Normal,Glasses,Blue,White,Yes,Y
Tom Cole,321,0.673,OK,4,R,M,0,MGrayReceding HairlineNormalBig SmileNormalNoneChinNoneGreenWhiteYes,Gray,Receding Hairline,Normal,Big Smile,Normal,None,Chin,None,Green,White,Yes,Y
Stephanie Bice,322,0.66,OK,5,R,F,0,FDark BrownFemale LongNormalNormalNormalNoneNormalNoneBrownWhiteNo,Dark Brown,Female Long,Normal,Normal,Normal,None,Normal,None,Brown,White,No,Y
Jim Inhofe,512,0.674,OK,SEN,R,M,0,MGrayReceding HairlineNormalSerious SmileNormalNoneNormalGlassesGreyWhiteYes,Gray,Receding Hairline,Normal,Serious Smile,Normal,None,Normal,Glasses,Grey,White,Yes,Y
James Lankford,511,0.628,OK,SEN,R,M,0,MRedGeneric Male MediumNormalBig SmileNormalNoneNormalNoneBrownWhiteNo,Red,Generic Male Medium,Normal,Big Smile,Normal,None,Normal,None,Brown,White,No,Y
Suzanne Bonamici,323,0.534,OR,1,D,F,0,FBrownFemale ShortNormalThin LipsNormalNoneNormalNoneBrownWhiteYes,Brown,Female Short,Normal,Thin Lips,Normal,None,Normal,None,Brown,White,Yes,Y
Cliff Bentz,324,0.446,OR,2,R,M,0,MLight GrayGeneric ShortProminentThin LipsBigNoneCheeksNoneHazelWhiteYes,Light Gray,Generic Short,Prominent,Thin Lips,Big,None,Cheeks,None,Hazel,White,Yes,Y
Earl Blumenauer,325,0.582,OR,3,D,M,0,MGrayReceding HairlineNormalSmirkBigNoneCheeksGlassesBrownWhiteYes,Gray,Receding Hairline,Normal,Smirk,Big,None,Cheeks,Glasses,Brown,White,Yes,Y
Peter DeFazio,326,0.711,OR,4,D,M,0,MGrayBaldNormalNo SmileNormalNoneNormalGlassesBrownWhiteMild,Gray,Bald,Normal,No Smile,Normal,None,Normal,Glasses,Brown,White,Mild,Y
Kurt Schrader,327,0.602,OR,5,D,M,0,MGrayGeneric ShortNormalNormalNormalNoneNormalNoneHazelOrangeYes,Gray,Generic Short,Normal,Normal,Normal,None,Normal,None,Hazel,Orange,Yes,Y
Jeff Merkley,614,0.656,OR,SEN,D,M,0,MGrayGeneric ShortNormalSmirkNormalNoneNormalNonehazelwhiteMild,Gray,Generic Short,Normal,Smirk,Normal,None,Normal,None,hazel,white,Mild,Y
Ron Wyden,514,0.624,OR,SEN,D,M,0,MLight BrownReceding HairlineNormalSmirkNormalNoneNormalNoneBrownWhitemild,Light Brown,Receding Hairline,Normal,Smirk,Normal,None,Normal,None,Brown,White,mild,Y
Brian Fitzpatrick,328,0.738,PA,1,R,M,0,MDark GrayGeneric ShortNormalBig SmileBigNoneCheeksNoneHazelWhiteNo,Dark Gray,Generic Short,Normal,Big Smile,Big,None,Cheeks,None,Hazel,White,No,Y
Brendan Boyle,329,0.633,PA,2,D,M,0,MDark GrayGeneric ShortNormalBig SmileNormalNoneCheeksNoneGreenWhiteNo,Dark Gray,Generic Short,Normal,Big Smile,Normal,None,Cheeks,None,Green,White,No,Y
Dwight Evans,330,0.544,PA,3,D,M,0,MBlackBaldNormalNormalNormalMoustacheNormalNoneBrownBlackYes,Black,Bald,Normal,Normal,Normal,Moustache,Normal,None,Brown,Black,Yes,Y
Madeleine Dean,331,0.636,PA,4,D,F,0,FDark BlondeFemale LongProminentNo SmileNormalNoneCheeksNoneHazelWhiteMild,Dark Blonde,Female Long,Prominent,No Smile,Normal,None,Cheeks,None,Hazel,White,Mild,Y
MARY GAY SCANLON,332,0.602,PA,5,D,F,0,FLight BlondeFemale LongProminentSerious SmileBigNoneChinNoneBlueWhiteMild,Light Blonde,Female Long,Prominent,Serious Smile,Big,None,Chin,None,Blue,White,Mild,Y
Chrissy Houlahan,333,0.582,PA,6,D,F,0,FLight BlondeFemale ShortNormalBig SmileNormalNoneNormalNoneBlue-GreyWhiteYes,Light Blonde,Female Short,Normal,Big Smile,Normal,None,Normal,None,Blue-Grey,White,Yes,Y
Susan Wild,334,0.643,PA,7,D,F,0,FLight BlondeFemale BobNormalNormalNormalNoneChinNoneBlueWhiteYes,Light Blonde,Female Bob,Normal,Normal,Normal,None,Chin,None,Blue,White,Yes,Y
Matt Cartwright,335,0.582,PA,8,D,M,0,MDark GrayGeneric ShortProminentSmirkNormalNoneChinNoneBlue-GreyTanYes,Dark Gray,Generic Short,Prominent,Smirk,Normal,None,Chin,None,Blue-Grey,Tan,Yes,Y
Dan Meuser,336,0.401,PA,9,R,M,0,MDark GrayGeneric ShortNormalBig SmileNormalNoneNormalNoneHazelOrangeNo,Dark Gray,Generic Short,Normal,Big Smile,Normal,None,Normal,None,Hazel,Orange,No,Y
Scott Perry,337,0.527,PA,10,R,M,0,MDark GrayGeneric ShortNormalBig SmileBigNoneCheeksNoneHazelWhiteMild,Dark Gray,Generic Short,Normal,Big Smile,Big,None,Cheeks,None,Hazel,White,Mild,Y
Lloyd Smucker,338,0.476,PA,11,R,M,0,MDark GrayReceding HairlineNormalBig SmileBigNoneNormalNoneBlueWhiteYes,Dark Gray,Receding Hairline,Normal,Big Smile,Big,None,Normal,None,Blue,White,Yes,Y
Fred Keller,339,0.415,PA,12,R,M,0,MGrayGeneric ShortNormalBig SmileBigNoneCheeksNoneBlueWhiteMild,Gray,Generic Short,Normal,Big Smile,Big,None,Cheeks,None,Blue,White,Mild,Y
John Joyce,340,0.486,PA,13,R,M,0,MDark BlondeReceding HairlineProminentSmirkNormalNoneNormalNoneGreenWhiteYes,Dark Blonde,Receding Hairline,Prominent,Smirk,Normal,None,Normal,None,Green,White,Yes,Y
Guy Reschenthaler,341,0.463,PA,14,R,M,0,MLight BrownGeneric ShortNormalBig SmileNormalNoneNormalNoneBlueWhiteYes,Light Brown,Generic Short,Normal,Big Smile,Normal,None,Normal,None,Blue,White,Yes,Y
Glenn Thompson,342,0.803,PA,15,R,M,0,MLight GrayBaldNormalSmirkNormalNoneCheeksNoneBlueOrangeYes,Light Gray,Bald,Normal,Smirk,Normal,None,Cheeks,None,Blue,Orange,Yes,Y
Mike Kelly,343,0.592,PA,16,R,M,0,MGrayReceding HairlineProminentNormalNormalNoneNormalNoneBlueWhiteYes,Gray,Receding Hairline,Prominent,Normal,Normal,None,Normal,None,Blue,White,Yes,Y
Conor Lamb,344,0.823,PA,17,D,M,0,MBrownGeneric ShortNormalNormalNormalNoneChinNoneBlueWhiteNo,Brown,Generic Short,Normal,Normal,Normal,None,Chin,None,Blue,White,No,Y
Mike Doyle,345,0.602,PA,18,D,M,0,MGrayReceding HairlineNormalNo SmileBigNoneNormalNoneBlueWhiteYes,Gray,Receding Hairline,Normal,No Smile,Big,None,Normal,None,Blue,White,Yes,Y
Pat Toomey,515,0.789,PA,SEN,R,M,0,MDark BrownReceding HairlineNormalSmirkNormalNoneNormalNonegreyWhiteYes,Dark Brown,Receding Hairline,Normal,Smirk,Normal,None,Normal,None,grey,White,Yes,Y
Bob Casey,615,0.67,PA,SEN,D,M,0,MGrayBaldProminentBig SmileNormalNoneNormalNoneBrownWhitemild,Gray,Bald,Prominent,Big Smile,Normal,None,Normal,None,Brown,White,mild,Y
Jenniffer González-Colón,346,0.4,PR,1,R,F,0,FDark BlondeFemale LongNormalBig SmileNormalNoneNormalNoneBrownWhiteNo,Dark Blonde,Female Long,Normal,Big Smile,Normal,None,Normal,None,Brown,White,No,Y
David Cicilline,347,0.724,RI,1,D,M,0,MDark GrayReceding HairlineNormalBig SmileBigNoneCheeksNoneHazelWhiteYes,Dark Gray,Receding Hairline,Normal,Big Smile,Big,None,Cheeks,None,Hazel,White,Yes,Y
James Langevin,348,0.633,RI,2,D,M,0,MDark BlondeReceding HairlineNormalBig SmileNormalNoneNormalGlassesBlueWhiteYes,Dark Blonde,Receding Hairline,Normal,Big Smile,Normal,None,Normal,Glasses,Blue,White,Yes,Y
Sheldon Whitehouse,518,0.761,RI,SEN,D,M,0,MGrayGeneric ShortNormalSmirkNormalNoneNormalNoneBrownWhiteYes,Gray,Generic Short,Normal,Smirk,Normal,None,Normal,None,Brown,White,Yes,Y
Jack Reed,617,0.592,RI,SEN,D,M,0,MLight GrayGeneric Male MediumNormalSmirkBigNoneCheeksNonehazelwhiteMild,Light Gray,Generic Male Medium,Normal,Smirk,Big,None,Cheeks,None,hazel,white,Mild,Y
Nancy Mace,349,0.803,SC,1,R,F,0,FBrownFemale LongNormalBig SmileNormalNoneNormalNoneBlueWhiteNo,Brown,Female Long,Normal,Big Smile,Normal,None,Normal,None,Blue,White,No,Y
Joe Wilson,350,0.595,SC,2,R,M,0,MGrayReceding HairlineNormalSmirkBigNoneNormalBigBlueWhiteYes,Gray,Receding Hairline,Normal,Smirk,Big,None,Normal,Big,Blue,White,Yes,Y
Jeff Duncan,351,0.483,SC,3,R,M,0,MLight BrownReceding HairlineProminentBig SmileBigNoneCheeksNoneBlueWhiteNo,Light Brown,Receding Hairline,Prominent,Big Smile,Big,None,Cheeks,None,Blue,White,No,Y
William Timmons,352,0.49,SC,4,R,M,0,MBrownBaldNormalNormalNormalBeardNormalNoneBlueWhiteNo,Brown,Bald,Normal,Normal,Normal,Beard,Normal,None,Blue,White,No,Y
Ralph Norman,353,0.497,SC,5,R,M,0,MGrayGeneric Male MediumNormalSmirkBigNoneCheeksNoneGreenOrangeYes,Gray,Generic Male Medium,Normal,Smirk,Big,None,Cheeks,None,Green,Orange,Yes,Y
Jim Clyburn,354,0.82,SC,6,D,M,0,MGrayReceding HairlineNormalBig SmileNormalNoneNormalGlassesBrownBlackYes,Gray,Receding Hairline,Normal,Big Smile,Normal,None,Normal,Glasses,Brown,Black,Yes,Y
Tom Rice,355,0.769,SC,7,R,M,0,MDark GrayGeneric ShortProminentBig SmileNormalNoneCheeksNoneHazelWhiteMild,Dark Gray,Generic Short,Prominent,Big Smile,Normal,None,Cheeks,None,Hazel,White,Mild,Y
Tim Scott,620,0.872,SC,SEN,R,M,0,MNoneBaldProminentBig SmileNormalNoneCheeksNoneBrownBlackno,None,Bald,Prominent,Big Smile,Normal,None,Cheeks,None,Brown,Black,no,Y
Lindsey Graham,519,0.862,SC,SEN,R,M,0,MGrayGeneric ShortNormalBig SmileBigNoneCheeksNoneBlueOrangeNo,Gray,Generic Short,Normal,Big Smile,Big,None,Cheeks,None,Blue,Orange,No,Y
Dusty Johnson,356,0.82,SD,1,R,M,0,MRedGeneric ShortNormalNormalNormalNoneNormalGlassesHazelWhiteNo,Red,Generic Short,Normal,Normal,Normal,None,Normal,Glasses,Hazel,White,No,Y
John Thune,521,0.665,SD,SEN,R,M,0,MGrayGeneric Male MediumNormalBig SmileNormalNoneChinNoneGreyOrangeMild,Gray,Generic Male Medium,Normal,Big Smile,Normal,None,Chin,None,Grey,Orange,Mild,Y
Mike Rounds,622,0.518,SD,SEN,R,M,0,MDark BrownGeneric Male MediumNormalBig SmileBigNoneNormalNoneBrownwhitemild,Dark Brown,Generic Male Medium,Normal,Big Smile,Big,None,Normal,None,Brown,white,mild,Y
Diana Harshbarger,357,0.486,TN,1,R,F,0,FBrownFemale LongNormalNormalNormalNoneNormalNoneGreenOrangeNo,Brown,Female Long,Normal,Normal,Normal,None,Normal,None,Green,Orange,No,Y
Tim Burchett,358,0.378,TN,2,R,M,0,MBrownGeneric ShortNormalNormalBigNoneChinNoneBlueWhiteMild,Brown,Generic Short,Normal,Normal,Big,None,Chin,None,Blue,White,Mild,Y
Chuck Fleischmann,359,0.422,TN,3,R,M,0,MLight BrownGeneric Male MediumNormalSmirkBigNoneNormalNoneGreenWhiteMild,Light Brown,Generic Male Medium,Normal,Smirk,Big,None,Normal,None,Green,White,Mild,Y
Scott DesJarlais,360,0.469,TN,4,R,M,0,MGrayBaldNormalNormalBigNoneNormalNoneBlueWhiteYes,Gray,Bald,Normal,Normal,Big,None,Normal,None,Blue,White,Yes,Y
Jim Cooper,361,0.629,TN,5,D,M,0,MGrayReceding HairlineNormalNo SmileBigNoneChinGlassesBrownTanMild,Gray,Receding Hairline,Normal,No Smile,Big,None,Chin,Glasses,Brown,Tan,Mild,Y
John Rose,362,0.701,TN,6,R,M,0,MDark BlondeReceding HairlineNormalNormalNormalNoneNormalGlassesBlueWhiteMild,Dark Blonde,Receding Hairline,Normal,Normal,Normal,None,Normal,Glasses,Blue,White,Mild,Y
Mark E. Green,363,0.697,TN,7,R,M,0,MDark BrownGeneric ShortProminentThin LipsBigNoneChinNoneHazelWhiteMild,Dark Brown,Generic Short,Prominent,Thin Lips,Big,None,Chin,None,Hazel,White,Mild,Y
David Kustoff,364,0.415,TN,8,R,M,0,MDark BrownGeneric ShortProminentNormalBigNoneChinNoneHazelWhiteYes,Dark Brown,Generic Short,Prominent,Normal,Big,None,Chin,None,Hazel,White,Yes,Y
Steve Cohen,365,0.68,TN,9,D,M,0,MGrayBaldNormalNormalNormalNoneNormalGlassesBlueWhiteYes,Gray,Bald,Normal,Normal,Normal,None,Normal,Glasses,Blue,White,Yes,Y
Marsha Blackburn,524,0.72,TN,SEN,R,F,0,FBlondeFemale LongNormalNormalNormalNoneCheeksNoneBlue-greyWhiteMild,Blonde,Female Long,Normal,Normal,Normal,None,Cheeks,None,Blue-grey,White,Mild,Y
Bill Hagerty,624,0.505,TN,SEN,R,M,0,MDark BrownGeneric Male MediumProminentSerious SmileBigNoneCheeksNoneGreyOrangeMild,Dark Brown,Generic Male Medium,Prominent,Serious Smile,Big,None,Cheeks,None,Grey,Orange,Mild,Y
Louie Gohmert,366,0.731,TX,1,R,M,0,MGrayBaldNormalThin LipsBigNoneChinNoneHazelWhiteMild,Gray,Bald,Normal,Thin Lips,Big,None,Chin,None,Hazel,White,Mild,Y
Dan Crenshaw,367,0.646,TX,2,R,M,0,MBrownGeneric Male MediumNormalNormalNormalBeardNormalEye PatchBrownWhiteNo,Brown,Generic Male Medium,Normal,Normal,Normal,Beard,Normal,Eye Patch,Brown,White,No,Y
Van Taylor,368,0.51,TX,3,R,M,0,MDark GrayGeneric ShortProminentBig SmileBigNoneCheeksNoneGreyWhiteYes,Dark Gray,Generic Short,Prominent,Big Smile,Big,None,Cheeks,None,Grey,White,Yes,Y
Pat Fallon,369,0.388,TX,4,R,M,0,MBrownGeneric ShortNormalNormalNormalNoneNormalNoneGreenWhiteNo,Brown,Generic Short,Normal,Normal,Normal,None,Normal,None,Green,White,No,Y
Lance Gooden,370,0.401,TX,5,R,M,0,MBlackReceding HairlineNormalBig SmileNormalNoneNormalNoneBrownWhiteNo,Black,Receding Hairline,Normal,Big Smile,Normal,None,Normal,None,Brown,White,No,Y
Jake Ellzey,371,0.4,TX,6,R,M,0,MBrownBaldProminentNormalNormalNoneNormalNoneBrownWhiteNo,Brown,Bald,Prominent,Normal,Normal,None,Normal,None,Brown,White,No,Y
Lizzie Fletcher,372,0.626,TX,7,D,F,0,FDark BlondeFemale LongNormalNormalNormalNoneNormalNoneGreenWhiteNo,Dark Blonde,Female Long,Normal,Normal,Normal,None,Normal,None,Green,White,No,Y
Kevin Brady,373,0.469,TX,8,R,M,0,MNoneBaldNormalSmirkNormalNoneNormalNoneGreenWhiteYes,None,Bald,Normal,Smirk,Normal,None,Normal,None,Green,White,Yes,Y
Al Green,374,0.697,TX,9,D,M,0,MBlackGeneric ShortNormalNormalNormalBeardNormalNoneBrownBlackYes,Black,Generic Short,Normal,Normal,Normal,Beard,Normal,None,Brown,Black,Yes,Y
Michael McCaul,375,0.51,TX,10,R,M,0,MGrayGeneric ShortNormalNormalNormalNoneChinNoneBlueWhiteNo,Gray,Generic Short,Normal,Normal,Normal,None,Chin,None,Blue,White,No,Y
August Pfluger,376,0.398,TX,11,R,M,0,MDark BrownReceding HairlineNormalSmirkBigNoneChinNoneBlueWhiteMild,Dark Brown,Receding Hairline,Normal,Smirk,Big,None,Chin,None,Blue,White,Mild,Y
Kay Granger,377,0.503,TX,12,R,F,0,FRedGeneric ShortNormalThin LipsNormalNoneNormalNoneBlueWhiteYes,Red,Generic Short,Normal,Thin Lips,Normal,None,Normal,None,Blue,White,Yes,Y
Ronny Jackson,378,0.571,TX,13,R,M,0,MDark GrayGeneric ShortNormalThin LipsNormalNoneChinNoneBlueWhiteMild,Dark Gray,Generic Short,Normal,Thin Lips,Normal,None,Chin,None,Blue,White,Mild,Y
Randy Weber,379,0.395,TX,14,R,M,0,MRedReceding HairlineNormalBig SmileNormalNoneCheeksNoneHazelWhiteYes,Red,Receding Hairline,Normal,Big Smile,Normal,None,Cheeks,None,Hazel,White,Yes,Y
Vicente Gonzalez,380,0.759,TX,15,D,M,0,MDark BrownGeneric Male MediumNormalNormalNormalNoneCheeksNoneHazelWhiteNo,Dark Brown,Generic Male Medium,Normal,Normal,Normal,None,Cheeks,None,Hazel,White,No,Y
Veronica Escobar,381,0.646,TX,16,D,F,0,FDark BrownFemale LongNormalNormalNormalNoneCheeksNoneBrownBrownNo,Dark Brown,Female Long,Normal,Normal,Normal,None,Cheeks,None,Brown,Brown,No,Y
Pete Sessions,382,0.483,TX,17,R,M,0,MGrayGeneric ShortNormalThin LipsBigNoneNormalNoneBlueWhiteMild,Gray,Generic Short,Normal,Thin Lips,Big,None,Normal,None,Blue,White,Mild,Y
Sheila Jackson Lee,383,0.84,TX,18,D,F,0,FBlackFemale ShortNormalNormalNormalNoneCheeksNoneBrownBlackMild,Black,Female Short,Normal,Normal,Normal,None,Cheeks,None,Brown,Black,Mild,Y
Jodey Arrington,384,0.398,TX,19,R,M,0,MDark BrownGeneric ShortNormalThin LipsNormalNoneNormalNoneBrownWhiteMild,Dark Brown,Generic Short,Normal,Thin Lips,Normal,None,Normal,None,Brown,White,Mild,Y
Joaquin Castro,385,0.602,TX,20,D,M,0,MBlackReceding HairlineProminentNormalNormalNoneNormalNoneBrownTanNo,Black,Receding Hairline,Prominent,Normal,Normal,None,Normal,None,Brown,Tan,No,Y
Chip Roy,386,0.551,TX,21,R,M,0,MGrayBaldNormalNormalNormalNoneCheeksNoneBlueWhiteNo,Gray,Bald,Normal,Normal,Normal,None,Cheeks,None,Blue,White,No,Y
Troy Nehls,387,0.439,TX,22,R,M,0,MBlondeGeneric ShortNormalNo SmileBigNoneCheeksNoneBlueWhiteNo,Blonde,Generic Short,Normal,No Smile,Big,None,Cheeks,None,Blue,White,No,Y
Tony Gonzales,388,0.612,TX,23,R,M,0,MBlackGeneric ShortNormalSerious SmileBigNoneChinNoneBrownWhiteNo,Black,Generic Short,Normal,Serious Smile,Big,None,Chin,None,Brown,White,No,Y
Beth Van Duyne,389,0.548,TX,24,R,F,0,FLight BlondeFemale LongProminentNormalBigNoneNormalNoneBrownWhiteNo,Light Blonde,Female Long,Prominent,Normal,Big,None,Normal,None,Brown,White,No,Y
Roger Williams,390,0.534,TX,25,R,M,0,MGrayGeneric Male MediumNormalThin LipsNormalNoneNormalNoneGreenWhiteYes,Gray,Generic Male Medium,Normal,Thin Lips,Normal,None,Normal,None,Green,White,Yes,Y
Michael C. Burgess,391,0.432,TX,26,R,M,0,MBrownGeneric ShortNormalNormalNormalNoneNormalGlassesHazelWhiteYes,Brown,Generic Short,Normal,Normal,Normal,None,Normal,Glasses,Hazel,White,Yes,Y
Michael Cloud,392,0.463,TX,27,R,M,0,MBrownGeneric ShortNormalNormalNormalGoateeNormalNoneBlueWhiteNo,Brown,Generic Short,Normal,Normal,Normal,Goatee,Normal,None,Blue,White,No,Y
Henry Cuellar,393,0.544,TX,28,D,M,0,MBlackGeneric ShortProminentNormalNormalNoneNormalNoneBrownTanYes,Black,Generic Short,Prominent,Normal,Normal,None,Normal,None,Brown,Tan,Yes,Y
Sylvia Garcia,394,0.609,TX,29,D,F,0,FBlondeFemale LongNormalBig SmileBigNoneCheeksNoneHazelWhiteYes,Blonde,Female Long,Normal,Big Smile,Big,None,Cheeks,None,Hazel,White,Yes,Y
Eddie Bernice Johnson,395,0.816,TX,30,D,F,0,FBrownGeneric ShortNormalNormalNormalNoneNormalNoneBrownBlackYes,Brown,Generic Short,Normal,Normal,Normal,None,Normal,None,Brown,Black,Yes,Y
John Carter,396,0.503,TX,31,R,M,0,MLight GrayGeneric ShortNormalNormalNormalNoneChinNoneBlueOrangeYes,Light Gray,Generic Short,Normal,Normal,Normal,None,Chin,None,Blue,Orange,Yes,Y
Colin Allred,397,0.639,TX,32,D,M,0,MBlackBaldNormalNormalNormalBeardNormalNoneBrownBlackNo,Black,Bald,Normal,Normal,Normal,Beard,Normal,None,Brown,Black,No,Y
Marc Veasey,398,0.463,TX,33,D,M,0,MBlackGeneric ShortProminentNormalNormalNoneCheeksNoneBrownBlackMild,Black,Generic Short,Prominent,Normal,Normal,None,Cheeks,None,Brown,Black,Mild,Y
Filemon Vela Jr.,399,0.673,TX,34,D,M,0,MBrownGeneric ShortNormalNormalNormalNoneNormalNoneBlueOrangeYes,Brown,Generic Short,Normal,Normal,Normal,None,Normal,None,Blue,Orange,Yes,Y
Lloyd Doggett,400,0.524,TX,35,D,M,0,MGrayGeneric ShortNormalNormalNormalNoneNormalNoneBlueWhiteYes,Gray,Generic Short,Normal,Normal,Normal,None,Normal,None,Blue,White,Yes,Y
Brian Babin,401,0.452,TX,36,R,M,0,MDark BlondeGeneric Male MediumNormalSmirkBigNoneChinNoneBlueWhiteYes,Dark Blonde,Generic Male Medium,Normal,Smirk,Big,None,Chin,None,Blue,White,Yes,Y
Ted Cruz,526,0.936,TX,SEN,R,M,0,MDark BrownReceding HairlineProminentNo SmileBigBeardChinNoneHazelTanNo,Dark Brown,Receding Hairline,Prominent,No Smile,Big,Beard,Chin,None,Hazel,Tan,No,Y
John Cornyn,625,0.784,TX,SEN,R,M,0,MWhiteBaldProminentBig SmileBigNoneChinNoneblue-greywhitemild,White,Bald,Prominent,Big Smile,Big,None,Chin,None,blue-grey,white,mild,Y
